country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,MY,VN,LA,187.5,0.0,RE_PV_Rooftop_Lim_[VN]
SG,MY,VN,LA,187.5,0.4,RE_PV_Openfield_Lim_[VN]
SG,MY,VN,LA,187.5,0.0,RE_WIND_Onshore_Lim_[VN]
SG,MY,VN,LA,187.5,6.2,RE_WIND_Offshore_Lim_[VN]
SG,MY,VN,LA,187.5,3.2,PP_CO2_[VN]
SG,MY,VN,LA,187.5,0.0,BESS_[VN]
SG,MY,VN,LA,187.5,0.5,EL_to_HTH_[VN]
SG,MY,VN,LA,187.5,0.0,EL_to_NH3_[VN]
SG,MY,VN,LA,187.5,0.0,NH3_Storage_[VN]
SG,MY,VN,LA,187.5,0.0,NH3_to_EL_[VN]
SG,MY,VN,LA,187.5,0.0,NH3_to_HTH_[VN]
SG,MY,VN,LA,187.5,3.5,FF_to_HTH_[VN]
SG,MY,VN,LA,187.5,0.0,EL_Demand_[VN]
SG,MY,VN,LA,187.5,0.0,HTH_Demand_[VN]
SG,MY,VN,LA,187.5,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,LA,187.5,1.2,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,LA,187.5,2.6,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,LA,187.5,0.3,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,LA,187.5,3.5,PP_CO2_[MY]
SG,MY,VN,LA,187.5,0.1,BESS_[MY]
SG,MY,VN,LA,187.5,0.1,EL_to_HTH_[MY]
SG,MY,VN,LA,187.5,0.0,EL_to_NH3_[MY]
SG,MY,VN,LA,187.5,0.0,NH3_Storage_[MY]
SG,MY,VN,LA,187.5,0.0,NH3_to_EL_[MY]
SG,MY,VN,LA,187.5,0.0,NH3_to_HTH_[MY]
SG,MY,VN,LA,187.5,1.6,FF_to_HTH_[MY]
SG,MY,VN,LA,187.5,0.0,EL_Demand_[MY]
SG,MY,VN,LA,187.5,0.0,HTH_Demand_[MY]
SG,MY,VN,LA,187.5,0.0,RE_PV_Rooftop_Lim_[LA]
SG,MY,VN,LA,187.5,0.0,RE_PV_Openfield_Lim_[LA]
SG,MY,VN,LA,187.5,0.1,RE_WIND_Onshore_Lim_[LA]
SG,MY,VN,LA,187.5,0.0,RE_WIND_Offshore_Lim_[LA]
SG,MY,VN,LA,187.5,0.1,PP_CO2_[LA]
SG,MY,VN,LA,187.5,0.0,BESS_[LA]
SG,MY,VN,LA,187.5,0.0,EL_to_HTH_[LA]
SG,MY,VN,LA,187.5,0.0,EL_to_NH3_[LA]
SG,MY,VN,LA,187.5,0.0,NH3_Storage_[LA]
SG,MY,VN,LA,187.5,0.0,NH3_to_EL_[LA]
SG,MY,VN,LA,187.5,0.0,NH3_to_HTH_[LA]
SG,MY,VN,LA,187.5,0.0,FF_to_HTH_[LA]
SG,MY,VN,LA,187.5,0.0,EL_Demand_[LA]
SG,MY,VN,LA,187.5,0.0,HTH_Demand_[LA]
SG,MY,VN,LA,187.5,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,VN,LA,187.5,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,VN,LA,187.5,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,VN,LA,187.5,0.0,RE_WIND_Offshore_Lim_[SG]
SG,MY,VN,LA,187.5,3.6,PP_CO2_[SG]
SG,MY,VN,LA,187.5,0.0,BESS_[SG]
SG,MY,VN,LA,187.5,0.0,EL_to_HTH_[SG]
SG,MY,VN,LA,187.5,0.0,EL_to_NH3_[SG]
SG,MY,VN,LA,187.5,0.0,NH3_Storage_[SG]
SG,MY,VN,LA,187.5,0.0,NH3_to_EL_[SG]
SG,MY,VN,LA,187.5,0.0,NH3_to_HTH_[SG]
SG,MY,VN,LA,187.5,0.7,FF_to_HTH_[SG]
SG,MY,VN,LA,187.5,0.0,EL_Demand_[SG]
SG,MY,VN,LA,187.5,0.0,HTH_Demand_[SG]
SG,MY,VN,LA,218.8,0.0,RE_PV_Rooftop_Lim_[VN]
SG,MY,VN,LA,218.8,0.0,RE_PV_Openfield_Lim_[VN]
SG,MY,VN,LA,218.8,0.0,RE_WIND_Onshore_Lim_[VN]
SG,MY,VN,LA,218.8,6.1,RE_WIND_Offshore_Lim_[VN]
SG,MY,VN,LA,218.8,3.4,PP_CO2_[VN]
SG,MY,VN,LA,218.8,0.0,BESS_[VN]
SG,MY,VN,LA,218.8,0.5,EL_to_HTH_[VN]
SG,MY,VN,LA,218.8,0.0,EL_to_NH3_[VN]
SG,MY,VN,LA,218.8,0.0,NH3_Storage_[VN]
SG,MY,VN,LA,218.8,0.0,NH3_to_EL_[VN]
SG,MY,VN,LA,218.8,0.0,NH3_to_HTH_[VN]
SG,MY,VN,LA,218.8,3.7,FF_to_HTH_[VN]
SG,MY,VN,LA,218.8,0.0,EL_Demand_[VN]
SG,MY,VN,LA,218.8,0.0,HTH_Demand_[VN]
SG,MY,VN,LA,218.8,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,LA,218.8,1.3,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,LA,218.8,0.9,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,LA,218.8,0.8,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,LA,218.8,4.5,PP_CO2_[MY]
SG,MY,VN,LA,218.8,0.0,BESS_[MY]
SG,MY,VN,LA,218.8,0.1,EL_to_HTH_[MY]
SG,MY,VN,LA,218.8,0.0,EL_to_NH3_[MY]
SG,MY,VN,LA,218.8,0.0,NH3_Storage_[MY]
SG,MY,VN,LA,218.8,0.0,NH3_to_EL_[MY]
SG,MY,VN,LA,218.8,0.0,NH3_to_HTH_[MY]
SG,MY,VN,LA,218.8,1.7,FF_to_HTH_[MY]
SG,MY,VN,LA,218.8,0.0,EL_Demand_[MY]
SG,MY,VN,LA,218.8,0.0,HTH_Demand_[MY]
SG,MY,VN,LA,218.8,0.0,RE_PV_Rooftop_Lim_[LA]
SG,MY,VN,LA,218.8,0.0,RE_PV_Openfield_Lim_[LA]
SG,MY,VN,LA,218.8,0.1,RE_WIND_Onshore_Lim_[LA]
SG,MY,VN,LA,218.8,0.0,RE_WIND_Offshore_Lim_[LA]
SG,MY,VN,LA,218.8,0.1,PP_CO2_[LA]
SG,MY,VN,LA,218.8,0.0,BESS_[LA]
SG,MY,VN,LA,218.8,0.0,EL_to_HTH_[LA]
SG,MY,VN,LA,218.8,0.0,EL_to_NH3_[LA]
SG,MY,VN,LA,218.8,0.0,NH3_Storage_[LA]
SG,MY,VN,LA,218.8,0.0,NH3_to_EL_[LA]
SG,MY,VN,LA,218.8,0.0,NH3_to_HTH_[LA]
SG,MY,VN,LA,218.8,0.0,FF_to_HTH_[LA]
SG,MY,VN,LA,218.8,0.0,EL_Demand_[LA]
SG,MY,VN,LA,218.8,0.0,HTH_Demand_[LA]
SG,MY,VN,LA,218.8,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,VN,LA,218.8,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,VN,LA,218.8,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,VN,LA,218.8,0.0,RE_WIND_Offshore_Lim_[SG]
SG,MY,VN,LA,218.8,3.6,PP_CO2_[SG]
SG,MY,VN,LA,218.8,0.0,BESS_[SG]
SG,MY,VN,LA,218.8,0.0,EL_to_HTH_[SG]
SG,MY,VN,LA,218.8,0.0,EL_to_NH3_[SG]
SG,MY,VN,LA,218.8,0.0,NH3_Storage_[SG]
SG,MY,VN,LA,218.8,0.0,NH3_to_EL_[SG]
SG,MY,VN,LA,218.8,0.0,NH3_to_HTH_[SG]
SG,MY,VN,LA,218.8,0.7,FF_to_HTH_[SG]
SG,MY,VN,LA,218.8,0.0,EL_Demand_[SG]
SG,MY,VN,LA,218.8,0.0,HTH_Demand_[SG]
