country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PE,CL,,,5.4,0.4,FF_to_HTH_[PE]
PE,CL,,,5.4,0.0,EL_Demand_[PE]
PE,CL,,,5.4,0.0,HTH_Demand_[PE]
PE,CL,,,5.4,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,5.4,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,5.4,3.0,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,5.4,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,5.4,0.0,PP_CO2_[CL]
PE,CL,,,5.4,0.0,BESS_[CL]
PE,CL,,,5.4,0.2,EL_to_HTH_[CL]
PE,CL,,,5.4,0.0,EL_to_NH3_[CL]
PE,CL,,,5.4,0.0,NH3_Storage_[CL]
PE,CL,,,5.4,0.0,NH3_to_EL_[CL]
PE,CL,,,5.4,0.0,NH3_to_HTH_[CL]
PE,CL,,,5.4,0.3,FF_to_HTH_[CL]
PE,CL,,,5.4,0.0,EL_Demand_[CL]
PE,CL,,,5.4,0.0,HTH_Demand_[CL]
PE,CL,,,5.4,0.0,NH3_Transport_[PE-CL]
PE,CL,,,5.4,1.2,EL_Transport_[PE-CL]
BR,PE,CL,,73.8,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,73.8,5.0,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,73.8,23.3,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,73.8,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,73.8,3.2,PP_CO2_[BR]
BR,PE,CL,,73.8,0.8,BESS_[BR]
BR,PE,CL,,73.8,1.5,EL_to_HTH_[BR]
BR,PE,CL,,73.8,0.0,EL_to_NH3_[BR]
BR,PE,CL,,73.8,0.0,NH3_Storage_[BR]
BR,PE,CL,,73.8,0.0,NH3_to_EL_[BR]
BR,PE,CL,,73.8,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,73.8,7.8,FF_to_HTH_[BR]
BR,PE,CL,,73.8,0.0,EL_Demand_[BR]
BR,PE,CL,,73.8,0.0,HTH_Demand_[BR]
BR,PE,CL,,73.8,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,73.8,0.0,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,73.8,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,73.8,0.5,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,73.8,0.0,PP_CO2_[PE]
BR,PE,CL,,73.8,0.0,BESS_[PE]
BR,PE,CL,,73.8,0.1,EL_to_HTH_[PE]
BR,PE,CL,,73.8,0.0,EL_to_NH3_[PE]
BR,PE,CL,,73.8,0.0,NH3_Storage_[PE]
BR,PE,CL,,73.8,0.0,NH3_to_EL_[PE]
BR,PE,CL,,73.8,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,73.8,0.5,FF_to_HTH_[PE]
BR,PE,CL,,73.8,0.0,EL_Demand_[PE]
BR,PE,CL,,73.8,0.0,HTH_Demand_[PE]
BR,PE,CL,,73.8,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,73.8,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,73.8,3.3,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,73.8,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,73.8,0.0,PP_CO2_[CL]
BR,PE,CL,,73.8,0.0,BESS_[CL]
BR,PE,CL,,73.8,0.2,EL_to_HTH_[CL]
BR,PE,CL,,73.8,0.0,EL_to_NH3_[CL]
BR,PE,CL,,73.8,0.0,NH3_Storage_[CL]
BR,PE,CL,,73.8,0.0,NH3_to_EL_[CL]
BR,PE,CL,,73.8,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,73.8,0.2,FF_to_HTH_[CL]
BR,PE,CL,,73.8,0.0,EL_Demand_[CL]
BR,PE,CL,,73.8,0.0,HTH_Demand_[CL]
BR,PE,CL,,73.8,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,73.8,0.0,EL_Transport_[BR-PE]
BR,PE,CL,,73.8,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,73.8,1.1,EL_Transport_[BR-CL]
BR,PE,CL,,73.8,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,73.8,1.7,EL_Transport_[PE-CL]
BR,PE,CL,,36.9,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,36.9,6.3,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,36.9,26.7,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,36.9,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,36.9,1.4,PP_CO2_[BR]
BR,PE,CL,,36.9,0.7,BESS_[BR]
BR,PE,CL,,36.9,1.5,EL_to_HTH_[BR]
BR,PE,CL,,36.9,0.2,EL_to_NH3_[BR]
BR,PE,CL,,36.9,0.3,NH3_Storage_[BR]
BR,PE,CL,,36.9,0.3,NH3_to_EL_[BR]
BR,PE,CL,,36.9,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,36.9,4.7,FF_to_HTH_[BR]
BR,PE,CL,,36.9,0.0,EL_Demand_[BR]
BR,PE,CL,,36.9,0.0,HTH_Demand_[BR]
BR,PE,CL,,36.9,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,36.9,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,36.9,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,36.9,0.3,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,36.9,0.0,PP_CO2_[PE]
BR,PE,CL,,36.9,0.0,BESS_[PE]
BR,PE,CL,,36.9,0.1,EL_to_HTH_[PE]
BR,PE,CL,,36.9,0.0,EL_to_NH3_[PE]
BR,PE,CL,,36.9,0.0,NH3_Storage_[PE]
BR,PE,CL,,36.9,0.0,NH3_to_EL_[PE]
BR,PE,CL,,36.9,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,36.9,0.1,FF_to_HTH_[PE]
BR,PE,CL,,36.9,0.0,EL_Demand_[PE]
BR,PE,CL,,36.9,0.0,HTH_Demand_[PE]
BR,PE,CL,,36.9,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,36.9,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,36.9,3.9,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,36.9,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,36.9,0.0,PP_CO2_[CL]
BR,PE,CL,,36.9,0.0,BESS_[CL]
BR,PE,CL,,36.9,0.2,EL_to_HTH_[CL]
BR,PE,CL,,36.9,0.1,EL_to_NH3_[CL]
BR,PE,CL,,36.9,0.1,NH3_Storage_[CL]
BR,PE,CL,,36.9,0.0,NH3_to_EL_[CL]
BR,PE,CL,,36.9,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,36.9,0.0,FF_to_HTH_[CL]
BR,PE,CL,,36.9,0.0,EL_Demand_[CL]
BR,PE,CL,,36.9,0.0,HTH_Demand_[CL]
BR,PE,CL,,36.9,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,36.9,0.1,EL_Transport_[BR-PE]
BR,PE,CL,,36.9,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,36.9,1.8,EL_Transport_[BR-CL]
BR,PE,CL,,36.9,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,36.9,2.0,EL_Transport_[PE-CL]
BR,PE,CL,,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,0.0,6.9,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,0.0,22.0,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,0.0,0.0,PP_CO2_[BR]
BR,PE,CL,,0.0,0.0,BESS_[BR]
BR,PE,CL,,0.0,1.5,EL_to_HTH_[BR]
BR,PE,CL,,0.0,1.4,EL_to_NH3_[BR]
BR,PE,CL,,0.0,5.1,NH3_Storage_[BR]
BR,PE,CL,,0.0,0.0,NH3_to_EL_[BR]
BR,PE,CL,,0.0,0.2,NH3_to_HTH_[BR]
BR,PE,CL,,0.0,0.0,FF_to_HTH_[BR]
BR,PE,CL,,0.0,0.0,EL_Demand_[BR]
BR,PE,CL,,0.0,0.0,HTH_Demand_[BR]
BR,PE,CL,,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,0.0,0.0,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,0.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,0.0,0.1,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,0.0,0.0,PP_CO2_[PE]
BR,PE,CL,,0.0,0.0,BESS_[PE]
BR,PE,CL,,0.0,0.1,EL_to_HTH_[PE]
BR,PE,CL,,0.0,0.0,EL_to_NH3_[PE]
BR,PE,CL,,0.0,0.4,NH3_Storage_[PE]
BR,PE,CL,,0.0,0.0,NH3_to_EL_[PE]
BR,PE,CL,,0.0,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,0.0,0.0,FF_to_HTH_[PE]
BR,PE,CL,,0.0,0.0,EL_Demand_[PE]
BR,PE,CL,,0.0,0.0,HTH_Demand_[PE]
BR,PE,CL,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,0.0,9.3,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,0.0,0.0,PP_CO2_[CL]
BR,PE,CL,,0.0,0.0,BESS_[CL]
BR,PE,CL,,0.0,0.1,EL_to_HTH_[CL]
BR,PE,CL,,0.0,0.1,EL_to_NH3_[CL]
BR,PE,CL,,0.0,0.3,NH3_Storage_[CL]
BR,PE,CL,,0.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,0.0,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,0.0,0.0,FF_to_HTH_[CL]
BR,PE,CL,,0.0,0.0,EL_Demand_[CL]
BR,PE,CL,,0.0,0.0,HTH_Demand_[CL]
BR,PE,CL,,0.0,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,0.0,0.2,EL_Transport_[BR-PE]
BR,PE,CL,,0.0,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,0.0,12.0,EL_Transport_[BR-CL]
BR,PE,CL,,0.0,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,0.0,2.1,EL_Transport_[PE-CL]
BR,PE,CL,,11.5,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,11.5,7.2,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,11.5,29.5,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,11.5,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,11.5,2.6,PP_CO2_[BR]
BR,PE,CL,,11.5,0.8,BESS_[BR]
BR,PE,CL,,11.5,1.5,EL_to_HTH_[BR]
BR,PE,CL,,11.5,0.4,EL_to_NH3_[BR]
BR,PE,CL,,11.5,0.5,NH3_Storage_[BR]
BR,PE,CL,,11.5,0.0,NH3_to_EL_[BR]
BR,PE,CL,,11.5,0.1,NH3_to_HTH_[BR]
BR,PE,CL,,11.5,1.7,FF_to_HTH_[BR]
BR,PE,CL,,11.5,0.0,EL_Demand_[BR]
BR,PE,CL,,11.5,0.0,HTH_Demand_[BR]
BR,PE,CL,,11.5,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,11.5,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,11.5,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,11.5,0.3,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,11.5,0.0,PP_CO2_[PE]
BR,PE,CL,,11.5,0.0,BESS_[PE]
BR,PE,CL,,11.5,0.1,EL_to_HTH_[PE]
BR,PE,CL,,11.5,0.0,EL_to_NH3_[PE]
BR,PE,CL,,11.5,0.0,NH3_Storage_[PE]
BR,PE,CL,,11.5,0.0,NH3_to_EL_[PE]
BR,PE,CL,,11.5,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,11.5,0.0,FF_to_HTH_[PE]
BR,PE,CL,,11.5,0.0,EL_Demand_[PE]
BR,PE,CL,,11.5,0.0,HTH_Demand_[PE]
BR,PE,CL,,11.5,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,11.5,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,11.5,4.2,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,11.5,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,11.5,0.0,PP_CO2_[CL]
BR,PE,CL,,11.5,0.0,BESS_[CL]
BR,PE,CL,,11.5,0.2,EL_to_HTH_[CL]
BR,PE,CL,,11.5,0.2,EL_to_NH3_[CL]
BR,PE,CL,,11.5,0.3,NH3_Storage_[CL]
BR,PE,CL,,11.5,0.0,NH3_to_EL_[CL]
BR,PE,CL,,11.5,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,11.5,0.0,FF_to_HTH_[CL]
BR,PE,CL,,11.5,0.0,EL_Demand_[CL]
BR,PE,CL,,11.5,0.0,HTH_Demand_[CL]
BR,PE,CL,,11.5,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,11.5,0.0,EL_Transport_[BR-PE]
BR,PE,CL,,11.5,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,11.5,2.3,EL_Transport_[BR-CL]
BR,PE,CL,,11.5,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,11.5,2.0,EL_Transport_[PE-CL]
BR,PE,CL,,23.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,23.0,6.8,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,23.0,27.3,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,23.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,23.0,3.1,PP_CO2_[BR]
BR,PE,CL,,23.0,0.8,BESS_[BR]
BR,PE,CL,,23.0,1.5,EL_to_HTH_[BR]
BR,PE,CL,,23.0,0.2,EL_to_NH3_[BR]
BR,PE,CL,,23.0,0.3,NH3_Storage_[BR]
BR,PE,CL,,23.0,0.3,NH3_to_EL_[BR]
BR,PE,CL,,23.0,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,23.0,2.9,FF_to_HTH_[BR]
BR,PE,CL,,23.0,0.0,EL_Demand_[BR]
BR,PE,CL,,23.0,0.0,HTH_Demand_[BR]
BR,PE,CL,,23.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,23.0,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,23.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,23.0,0.3,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,23.0,0.0,PP_CO2_[PE]
BR,PE,CL,,23.0,0.0,BESS_[PE]
BR,PE,CL,,23.0,0.1,EL_to_HTH_[PE]
BR,PE,CL,,23.0,0.0,EL_to_NH3_[PE]
BR,PE,CL,,23.0,0.0,NH3_Storage_[PE]
BR,PE,CL,,23.0,0.0,NH3_to_EL_[PE]
BR,PE,CL,,23.0,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,23.0,0.0,FF_to_HTH_[PE]
BR,PE,CL,,23.0,0.0,EL_Demand_[PE]
BR,PE,CL,,23.0,0.0,HTH_Demand_[PE]
BR,PE,CL,,23.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,23.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,23.0,4.0,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,23.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,23.0,0.0,PP_CO2_[CL]
BR,PE,CL,,23.0,0.0,BESS_[CL]
BR,PE,CL,,23.0,0.2,EL_to_HTH_[CL]
BR,PE,CL,,23.0,0.1,EL_to_NH3_[CL]
BR,PE,CL,,23.0,0.1,NH3_Storage_[CL]
BR,PE,CL,,23.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,23.0,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,23.0,0.0,FF_to_HTH_[CL]
BR,PE,CL,,23.0,0.0,EL_Demand_[CL]
BR,PE,CL,,23.0,0.0,HTH_Demand_[CL]
BR,PE,CL,,23.0,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,23.0,0.1,EL_Transport_[BR-PE]
BR,PE,CL,,23.0,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,23.0,2.1,EL_Transport_[BR-CL]
BR,PE,CL,,23.0,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,23.0,2.0,EL_Transport_[PE-CL]
BR,PE,CL,,34.5,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,34.5,6.5,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,34.5,26.8,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,34.5,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,34.5,1.2,PP_CO2_[BR]
BR,PE,CL,,34.5,0.7,BESS_[BR]
BR,PE,CL,,34.5,1.5,EL_to_HTH_[BR]
BR,PE,CL,,34.5,0.3,EL_to_NH3_[BR]
BR,PE,CL,,34.5,0.3,NH3_Storage_[BR]
BR,PE,CL,,34.5,0.3,NH3_to_EL_[BR]
BR,PE,CL,,34.5,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,34.5,4.5,FF_to_HTH_[BR]
BR,PE,CL,,34.5,0.0,EL_Demand_[BR]
BR,PE,CL,,34.5,0.0,HTH_Demand_[BR]
BR,PE,CL,,34.5,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,34.5,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,34.5,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,34.5,0.3,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,34.5,0.0,PP_CO2_[PE]
BR,PE,CL,,34.5,0.0,BESS_[PE]
BR,PE,CL,,34.5,0.1,EL_to_HTH_[PE]
BR,PE,CL,,34.5,0.0,EL_to_NH3_[PE]
BR,PE,CL,,34.5,0.0,NH3_Storage_[PE]
BR,PE,CL,,34.5,0.0,NH3_to_EL_[PE]
BR,PE,CL,,34.5,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,34.5,0.1,FF_to_HTH_[PE]
BR,PE,CL,,34.5,0.0,EL_Demand_[PE]
BR,PE,CL,,34.5,0.0,HTH_Demand_[PE]
BR,PE,CL,,34.5,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,34.5,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,34.5,4.0,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,34.5,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,34.5,0.0,PP_CO2_[CL]
BR,PE,CL,,34.5,0.0,BESS_[CL]
BR,PE,CL,,34.5,0.2,EL_to_HTH_[CL]
BR,PE,CL,,34.5,0.1,EL_to_NH3_[CL]
BR,PE,CL,,34.5,0.1,NH3_Storage_[CL]
BR,PE,CL,,34.5,0.0,NH3_to_EL_[CL]
BR,PE,CL,,34.5,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,34.5,0.0,FF_to_HTH_[CL]
BR,PE,CL,,34.5,0.0,EL_Demand_[CL]
BR,PE,CL,,34.5,0.0,HTH_Demand_[CL]
BR,PE,CL,,34.5,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,34.5,0.1,EL_Transport_[BR-PE]
BR,PE,CL,,34.5,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,34.5,2.0,EL_Transport_[BR-CL]
BR,PE,CL,,34.5,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,34.5,2.0,EL_Transport_[PE-CL]
BR,PE,CL,,46.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,46.0,5.7,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,46.0,26.0,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,46.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,46.0,2.0,PP_CO2_[BR]
BR,PE,CL,,46.0,0.8,BESS_[BR]
BR,PE,CL,,46.0,1.5,EL_to_HTH_[BR]
BR,PE,CL,,46.0,0.1,EL_to_NH3_[BR]
BR,PE,CL,,46.0,0.1,NH3_Storage_[BR]
BR,PE,CL,,46.0,0.1,NH3_to_EL_[BR]
BR,PE,CL,,46.0,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,46.0,5.5,FF_to_HTH_[BR]
BR,PE,CL,,46.0,0.0,EL_Demand_[BR]
BR,PE,CL,,46.0,0.0,HTH_Demand_[BR]
BR,PE,CL,,46.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,46.0,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,46.0,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,46.0,0.4,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,46.0,0.0,PP_CO2_[PE]
BR,PE,CL,,46.0,0.0,BESS_[PE]
BR,PE,CL,,46.0,0.1,EL_to_HTH_[PE]
BR,PE,CL,,46.0,0.0,EL_to_NH3_[PE]
BR,PE,CL,,46.0,0.0,NH3_Storage_[PE]
BR,PE,CL,,46.0,0.0,NH3_to_EL_[PE]
BR,PE,CL,,46.0,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,46.0,0.2,FF_to_HTH_[PE]
BR,PE,CL,,46.0,0.0,EL_Demand_[PE]
BR,PE,CL,,46.0,0.0,HTH_Demand_[PE]
BR,PE,CL,,46.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,46.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,46.0,3.7,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,46.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,46.0,0.0,PP_CO2_[CL]
BR,PE,CL,,46.0,0.0,BESS_[CL]
BR,PE,CL,,46.0,0.2,EL_to_HTH_[CL]
BR,PE,CL,,46.0,0.0,EL_to_NH3_[CL]
BR,PE,CL,,46.0,0.1,NH3_Storage_[CL]
BR,PE,CL,,46.0,0.0,NH3_to_EL_[CL]
BR,PE,CL,,46.0,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,46.0,0.0,FF_to_HTH_[CL]
BR,PE,CL,,46.0,0.0,EL_Demand_[CL]
BR,PE,CL,,46.0,0.0,HTH_Demand_[CL]
BR,PE,CL,,46.0,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,46.0,0.0,EL_Transport_[BR-PE]
BR,PE,CL,,46.0,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,46.0,1.6,EL_Transport_[BR-CL]
BR,PE,CL,,46.0,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,46.0,1.9,EL_Transport_[PE-CL]
BR,PE,CL,,57.5,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,57.5,5.6,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,57.5,24.7,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,57.5,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,57.5,2.6,PP_CO2_[BR]
BR,PE,CL,,57.5,0.7,BESS_[BR]
BR,PE,CL,,57.5,1.5,EL_to_HTH_[BR]
BR,PE,CL,,57.5,0.0,EL_to_NH3_[BR]
BR,PE,CL,,57.5,0.0,NH3_Storage_[BR]
BR,PE,CL,,57.5,0.0,NH3_to_EL_[BR]
BR,PE,CL,,57.5,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,57.5,6.4,FF_to_HTH_[BR]
BR,PE,CL,,57.5,0.0,EL_Demand_[BR]
BR,PE,CL,,57.5,0.0,HTH_Demand_[BR]
BR,PE,CL,,57.5,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,57.5,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,57.5,0.0,RE_WIND_Onshore_Lim_[PE]
BR,PE,CL,,57.5,0.4,RE_WIND_Offshore_Lim_[PE]
BR,PE,CL,,57.5,0.0,PP_CO2_[PE]
BR,PE,CL,,57.5,0.0,BESS_[PE]
BR,PE,CL,,57.5,0.1,EL_to_HTH_[PE]
BR,PE,CL,,57.5,0.0,EL_to_NH3_[PE]
BR,PE,CL,,57.5,0.0,NH3_Storage_[PE]
BR,PE,CL,,57.5,0.0,NH3_to_EL_[PE]
BR,PE,CL,,57.5,0.0,NH3_to_HTH_[PE]
BR,PE,CL,,57.5,0.3,FF_to_HTH_[PE]
BR,PE,CL,,57.5,0.0,EL_Demand_[PE]
BR,PE,CL,,57.5,0.0,HTH_Demand_[PE]
BR,PE,CL,,57.5,0.0,RE_PV_Rooftop_Lim_[CL]
BR,PE,CL,,57.5,0.0,RE_PV_Openfield_Lim_[CL]
BR,PE,CL,,57.5,3.6,RE_WIND_Onshore_Lim_[CL]
BR,PE,CL,,57.5,0.0,RE_WIND_Offshore_Lim_[CL]
BR,PE,CL,,57.5,0.0,PP_CO2_[CL]
BR,PE,CL,,57.5,0.0,BESS_[CL]
BR,PE,CL,,57.5,0.2,EL_to_HTH_[CL]
BR,PE,CL,,57.5,0.0,EL_to_NH3_[CL]
BR,PE,CL,,57.5,0.0,NH3_Storage_[CL]
BR,PE,CL,,57.5,0.0,NH3_to_EL_[CL]
BR,PE,CL,,57.5,0.0,NH3_to_HTH_[CL]
BR,PE,CL,,57.5,0.1,FF_to_HTH_[CL]
BR,PE,CL,,57.5,0.0,EL_Demand_[CL]
BR,PE,CL,,57.5,0.0,HTH_Demand_[CL]
BR,PE,CL,,57.5,0.0,NH3_Transport_[BR-PE]
BR,PE,CL,,57.5,0.0,EL_Transport_[BR-PE]
BR,PE,CL,,57.5,0.0,NH3_Transport_[BR-CL]
BR,PE,CL,,57.5,1.3,EL_Transport_[BR-CL]
BR,PE,CL,,57.5,0.0,NH3_Transport_[PE-CL]
BR,PE,CL,,57.5,1.8,EL_Transport_[PE-CL]
BR,PE,CL,,69.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,PE,CL,,69.0,5.2,RE_PV_Openfield_Lim_[BR]
BR,PE,CL,,69.0,23.7,RE_WIND_Onshore_Lim_[BR]
BR,PE,CL,,69.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,PE,CL,,69.0,3.0,PP_CO2_[BR]
BR,PE,CL,,69.0,0.8,BESS_[BR]
BR,PE,CL,,69.0,1.5,EL_to_HTH_[BR]
BR,PE,CL,,69.0,0.0,EL_to_NH3_[BR]
BR,PE,CL,,69.0,0.0,NH3_Storage_[BR]
BR,PE,CL,,69.0,0.0,NH3_to_EL_[BR]
BR,PE,CL,,69.0,0.0,NH3_to_HTH_[BR]
BR,PE,CL,,69.0,7.4,FF_to_HTH_[BR]
BR,PE,CL,,69.0,0.0,EL_Demand_[BR]
BR,PE,CL,,69.0,0.0,HTH_Demand_[BR]
BR,PE,CL,,69.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,PE,CL,,69.0,0.1,RE_PV_Openfield_Lim_[PE]
BR,PE,CL,,69.0,0.0,RE_WIND_Onshore_Lim_[PE]
