country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,KE,,33.2,0.0,HTH_Demand_[NG]
EG,NG,KE,,44.2,0.0,RE_PV_Rooftop_Lim_[KE]
EG,NG,KE,,44.2,0.2,RE_PV_Openfield_Lim_[KE]
EG,NG,KE,,44.2,1.6,RE_WIND_Onshore_Lim_[KE]
EG,NG,KE,,44.2,0.0,RE_WIND_Offshore_Lim_[KE]
EG,NG,KE,,44.2,0.2,PP_CO2_[KE]
EG,NG,KE,,44.2,0.1,BESS_[KE]
EG,NG,KE,,44.2,0.1,EL_to_HTH_[KE]
EG,NG,KE,,44.2,0.0,EL_to_NH3_[KE]
EG,NG,KE,,44.2,0.0,NH3_Storage_[KE]
EG,NG,KE,,44.2,0.0,NH3_to_EL_[KE]
EG,NG,KE,,44.2,0.0,NH3_to_HTH_[KE]
EG,NG,KE,,44.2,0.3,FF_to_HTH_[KE]
EG,NG,KE,,44.2,0.0,EL_Demand_[KE]
EG,NG,KE,,44.2,0.0,HTH_Demand_[KE]
EG,NG,KE,,44.2,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,KE,,44.2,1.7,RE_PV_Openfield_Lim_[EG]
EG,NG,KE,,44.2,7.4,RE_WIND_Onshore_Lim_[EG]
EG,NG,KE,,44.2,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,KE,,44.2,0.0,PP_CO2_[EG]
EG,NG,KE,,44.2,0.3,BESS_[EG]
EG,NG,KE,,44.2,0.5,EL_to_HTH_[EG]
EG,NG,KE,,44.2,0.0,EL_to_NH3_[EG]
EG,NG,KE,,44.2,0.0,NH3_Storage_[EG]
EG,NG,KE,,44.2,0.0,NH3_to_EL_[EG]
EG,NG,KE,,44.2,0.0,NH3_to_HTH_[EG]
EG,NG,KE,,44.2,1.2,FF_to_HTH_[EG]
EG,NG,KE,,44.2,0.0,EL_Demand_[EG]
EG,NG,KE,,44.2,0.0,HTH_Demand_[EG]
EG,NG,KE,,44.2,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,KE,,44.2,4.1,RE_PV_Openfield_Lim_[NG]
EG,NG,KE,,44.2,15.3,RE_WIND_Onshore_Lim_[NG]
EG,NG,KE,,44.2,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,KE,,44.2,1.9,PP_CO2_[NG]
EG,NG,KE,,44.2,2.1,BESS_[NG]
EG,NG,KE,,44.2,0.5,EL_to_HTH_[NG]
EG,NG,KE,,44.2,0.0,EL_to_NH3_[NG]
EG,NG,KE,,44.2,0.0,NH3_Storage_[NG]
EG,NG,KE,,44.2,0.0,NH3_to_EL_[NG]
EG,NG,KE,,44.2,0.0,NH3_to_HTH_[NG]
EG,NG,KE,,44.2,2.9,FF_to_HTH_[NG]
EG,NG,KE,,44.2,0.0,EL_Demand_[NG]
EG,NG,KE,,44.2,0.0,HTH_Demand_[NG]
